volume,plate,ku_id,ku_title,ku_english,ku_printed_latin,ku_sci,note
V,58,ku-gould:13664,Wompoo Fruit Dove. 58. plate,Wompoo Fruit Dove,Carpophaga magnifica,Ptilinopus magnificus,printed_english=Magnificent fruit pigeon
V,59,ku-gould:13660,White-headed Pigeon. 59. plate,White-headed Pigeon,Carpophaga leucomela,Columba leucomela,printed_english=White-headed fruit pigeon
V,60,ku-gould:13656,Pied Imperial Pigeon. 60. plate,Pied Imperial Pigeon,Carpophaga luctuosa,Ducula bicolor,printed_english=Torres strait fruit pigeon
V,61,ku-gould:13652,Topknot Pigeon. 61. plate,Topknot Pigeon,,Lopholaimus antarcticus,printed_alt_name=Top-knot pigeon
V,62,ku-gould:13648,Common Emerald Dove. 62. plate,Common Emerald Dove,Chalcophaps chrysochlora,Chalcophaps indica,printed_english=Little green pigeon
V,63,ku-gould:13644,Wonga Pigeon. 63. plate,Wonga Pigeon,Leucosarcia picata,Leucosarcia melanoleuca,printed_english=Wonga-wonga pigeon
V,64,ku-gould:13640,Common Bronzewing. 64. plate,Common Bronzewing,Peristera chalcoptera,Phaps chalcoptera,printed_english=Bronze-winged pigeon
V,65,ku-gould:13636,Brush Bronzewing. 65. plate,Brush Bronzewing,Peristera elegans,Phaps elegans,printed_english=Brush bronze-winged pigeon
V,66,ku-gould:13632,Flock Bronzewing. 66. plate,Flock Bronzewing,Peristera histrionica,Phaps histrionica,printed_english=Harlequin bronze-wing
V,67,ku-gould:13628,Squatter Pigeon. 67. plate,Squatter Pigeon,Partridge bronze-wing,Geophaps scripta,
V,68,ku-gould:13624,Partridge Pigeon. 68. plate,Partridge Pigeon,,Geophaps smithii,printed_alt_name=Smith's partridge bronze-wing
V,69,ku-gould:13620,Spinifex Pigeon. 69. plate,Spinifex Pigeon,Plumed partridge bronze-wing,Geophaps plumifera,
V,70,ku-gould:13616,Crested Pigeon. 70. plate,Crested Pigeon,,Ocyphaps lophotes,
V,71,ku-gould:13612,White-quilled Rock Pigeon. 71. plate,White-quilled Rock Pigeon,,Petrophassa albipennis,printed_alt_name=White-quilled rock dove
V,72,ku-gould:13608,Bar-shouldered Dove. 72. plate,Bar-shouldered Dove,,Geopelia humeralis,printed_alt_name=Barred-shouldered ground dove
V,73,ku-gould:13604,Peaceful Dove. 73. plate,Peaceful Dove,Geopelia tranquilla,Geopelia placida,printed_english=Peaceful ground dove
V,74,ku-gould:13600,Diamond Dove. 74. plate,Diamond Dove,Graceful ground dove,Geopelia cuneata,
V,75,ku-gould:13596,Brown Cuckoo-Dove. 75. plate,Brown Cuckoo-Dove,Macropygia phasianella,Macropygia amboinensis,printed_english=Pheasant-tailed pigeon
V,76,ku-gould:13592,Tooth-billed Pigeon. 76. plate,Tooth-billed Pigeon,Gnathodon strigirostris,Didunculus strigirostris,printed_english=Gnathodon
V,77,ku-gould:13588,Australian Brushturkey. 77. plate,Australian Brushturkey,Talegalla lathamii,Alectura lathami,printed_english=Wattled talegalla
V,78,ku-gould:13584,Malleefowl. 78. plate,Malleefowl,Ocellated leipoa,Leipoa ocellata,
V,79,ku-gould:13580,Scrubfowl. 79. plate,Scrubfowl,Megapodius tumulus,Megapodius reinwardt,printed_english=Mound-raising megapode
V,80,ku-gould:13576,Plains-wanderer. 80. plate,Plains-wanderer,Collared plain wanderer,Pedionomus torquatus,
V,81,ku-gould:13572,Black-breasted Buttonquail. 81. plate,Black-breasted Buttonquail,Hemipodius melanogaster,Turnix melanogaster,printed_english=Black-breasted hemipode
V,82,ku-gould:13568,Painted Buttonquail. 82. plate,Painted Buttonquail,Hemipodius varius,Turnix varius varius,printed_english=Varied hemipode
V,83,ku-gould:13564,Painted Buttonquail. 83. plate,Painted Buttonquail,Hemipodius scintillans,Turnix varius scintillans,printed_english=Sparkling hemipode
V,84,ku-gould:13560,Red-backed Buttonquail. 84. plate,Red-backed Buttonquail,Hemipodius melanotus,Turnix maculosus melanotus,printed_english=Black-backed hemipode
V,85,ku-gould:13556,Chestnut-backed Buttonquail. 85. plate,Chestnut-backed Buttonquail,Hemipodius castanotus,Turnix castanotus,printed_english=Chestnut-backed hemipode
