plate,figure,printed_name,printed_latin,scientific,common,ebird_code,taxonomy,wikidata,gbif,avibase,birdnet_label,form,confidence,caption_checked,reason,sources
82,,Whip-poor-will,,Antrostomus vociferus,Eastern Whip-poor-will,easwpw1,eBird/Clements 2025,,,,Antrostomus vociferus_Eastern Whip-poor-will,,high,,Audubon's “Whip-poor-will” is today's Eastern Whip-poor-will,Featherframe havell.yaml; plate title from audubon.org
83,,House Wren,,Troglodytes aedon,Northern House Wren,houwre,eBird/Clements 2025,Q524799,5231459,1181E29791E92A94,Troglodytes aedon_House Wren,,high,,Audubon's “House Wren” is today's Northern House Wren,Featherframe havell.yaml; plate title from audubon.org
84,,Blue-Grey Fly-catcher,,Polioptila caerulea,Blue-gray Gnatcatcher,buggna,eBird/Clements 2025,Q883006,2487596,A15C5071DDEDC552,Polioptila caerulea_Blue-gray Gnatcatcher,,high,,Audubon's “Blue-Grey Fly-catcher” is today's Blue-gray Gnatcatcher,Featherframe havell.yaml; plate title from audubon.org
85,,Yellow Throated Warbler,,Setophaga dominica,Yellow-throated Warbler,yetwar,eBird/Clements 2025,Q27075934,7341800,136451CF6F7A49BA,Setophaga dominica_Yellow-throated Warbler,,high,,Audubon's “Yellow Throated Warbler” is today's Yellow-throated Warbler,Featherframe havell.yaml; plate title from audubon.org
86,,Black Warrior,,,,,,,,,,,none,,"not identified here yet: Featherframe pins one plate per species, and this is likely a second plate of one",
87,,Florida Jay,,Aphelocoma coerulescens,Florida Scrub-Jay,flsjay,eBird/Clements 2025,Q530842,2482400,114C4EDC631C18BD,Aphelocoma coerulescens_Florida Scrub-Jay,,high,,Audubon's “Florida Jay” is today's Florida Scrub-Jay,Featherframe havell.yaml; plate title from audubon.org
88,,Autumnal Warbler,,,,,,,,,,,none,,"not identified here yet: Featherframe pins one plate per species, and this is likely a second plate of one",
89,,Nashville Warbler,,Leiothlypis ruficapilla,Nashville Warbler,naswar,eBird/Clements 2025,,,183E5F909449A603,Leiothlypis ruficapilla_Nashville Warbler,,high,,,Featherframe havell.yaml; plate title from audubon.org
90,,Black & White Creeper,,Mniotilta varia,Black-and-white Warbler,bawwar,eBird/Clements 2025,Q669888,2489613,4D207AF69A79DDCF,Mniotilta varia_Black-and-white Warbler,,high,,Audubon's “Black & White Creeper” is today's Black-and-white Warbler,Featherframe havell.yaml; plate title from audubon.org
91,,Broad-winged Hawk,,Buteo platypterus,Broad-winged Hawk,brwhaw,eBird/Clements 2025,Q1075004,2480538,79F3C681417F2056,Buteo platypterus_Broad-winged Hawk,,high,,,Featherframe havell.yaml; plate title from audubon.org
92,,Pigeon Hawk,,Falco columbarius,Merlin,merlin,eBird/Clements 2025,Q131918,9813242,F3DA111CC8A6841B,Falco columbarius_Merlin,,high,,Audubon's “Pigeon Hawk” is today's Merlin,Featherframe havell.yaml; plate title from audubon.org
93,,Sea-side Finch,,Ammospiza maritima,Seaside Sparrow,seaspa,eBird/Clements 2025,Q28812582,2491116,0F81304F8BBF1EC5,Ammospiza maritima_Seaside Sparrow,,high,,Audubon's “Sea-side Finch” is today's Seaside Sparrow,Featherframe havell.yaml; plate title from audubon.org
94,,Grass Finch or Bay-winged Bunting,,Pooecetes gramineus,Vesper Sparrow,vesspa,eBird/Clements 2025,Q776555,2491728,3647E146F88AE943,Pooecetes gramineus_Vesper Sparrow,,high,,Audubon's “Grass Finch or Bay-winged Bunting” is today's Vesper Sparrow,Featherframe havell.yaml; plate title from audubon.org
95,,Yellow-poll Warbler,,Setophaga aestiva,Northern Yellow Warbler,yelwar1,eBird/Clements 2025,Q12267348,8378494,B64C749B211015EF,Setophaga petechia_Yellow Warbler,,high,,Audubon's “Yellow-poll Warbler” is today's Northern Yellow Warbler; eBird 2025 splits Yellow Warbler; the binomial stays with Mangrove Yellow Warbler,Featherframe havell.yaml; plate title from audubon.org
96,,Columbia Jay,,Cyanocorax colliei,Black-throated Magpie-Jay,btmjay,eBird/Clements 2025,Q1586267,2482459,C4E691AF0C05C661,Calocitta colliei_Black-throated Magpie-Jay,,high,,Audubon's “Columbia Jay” is today's Black-throated Magpie-Jay,Featherframe havell.yaml; plate title from audubon.org
97,,Little Screech Owl,,Megascops asio,Eastern Screech-Owl,easowl1,eBird/Clements 2025,Q251939,2497415,A69062C895C0CCDA,Megascops asio_Eastern Screech-Owl,,high,,Audubon's “Little Screech Owl” is today's Eastern Screech-Owl,Featherframe havell.yaml; plate title from audubon.org
98,,White-bellied Swallow,,Tachycineta bicolor,Tree Swallow,treswa,eBird/Clements 2025,Q922192,2489181,BBA2F9DF60AE60BF,Tachycineta bicolor_Tree Swallow,,high,,Audubon's “White-bellied Swallow” is today's Tree Swallow,Featherframe havell.yaml; plate title from audubon.org
99,,Cow-pen Bird,,Molothrus ater,Brown-headed Cowbird,bnhcow,eBird/Clements 2025,Q901568,2484391,1E1AB415D083AAD4,Molothrus ater_Brown-headed Cowbird,,high,,Audubon's “Cow-pen Bird” is today's Brown-headed Cowbird,Featherframe havell.yaml; plate title from audubon.org
100,,Marsh Wren,,Cistothorus palustris,Marsh Wren,marwre,eBird/Clements 2025,Q1379530,2493863,787E05366752B844,Cistothorus palustris_Marsh Wren,,high,,,Featherframe havell.yaml; plate title from audubon.org
101,,Raven,,Corvus corax,Common Raven,comrav,eBird/Clements 2025,Q25357,2482492,B9B272F40EE1570F,Corvus corax_Common Raven,,high,,Audubon's “Raven” is today's Common Raven,Featherframe havell.yaml; plate title from audubon.org
102,,Blue Jay,,Cyanocitta cristata,Blue Jay,blujay,eBird/Clements 2025,Q199758,2482593,1DA430B8663CD4BE,Cyanocitta cristata_Blue Jay,,high,,,Featherframe havell.yaml; plate title from audubon.org
103,,Canada Warbler,,Cardellina canadensis,Canada Warbler,canwar,eBird/Clements 2025,Q27076004,6091946,F2D675AFB11EEEFF,Cardellina canadensis_Canada Warbler,,high,,,Featherframe havell.yaml; plate title from audubon.org
104,,Chipping Sparrow,,Spizella passerina,Chipping Sparrow,chispa,eBird/Clements 2025,Q645203,2492109,37E9CCDA7A4B06ED,Spizella passerina_Chipping Sparrow,,high,,,Featherframe havell.yaml; plate title from audubon.org
105,,Red-breasted Nuthatch,,Sitta canadensis,Red-breasted Nuthatch,rebnut,eBird/Clements 2025,Q597684,2484879,0716A71C439DC09E,Sitta canadensis_Red-breasted Nuthatch,,high,,,Featherframe havell.yaml; plate title from audubon.org
106,,Black Vulture or Carrion Crow,,Coragyps atratus,Black Vulture,blkvul,eBird/Clements 2025,Q213366,2481942,4FF7DE80F4192276,Coragyps atratus_Black Vulture,,high,,Audubon's “Black Vulture or Carrion Crow” is today's Black Vulture,Featherframe havell.yaml; plate title from audubon.org
107,,Canada Jay,,Perisoreus canadensis,Canada Jay,gryjay,eBird/Clements 2025,Q80858,2482436,69A6E32F323B9088,Perisoreus canadensis_Canada Jay,,high,,,Featherframe havell.yaml; plate title from audubon.org
